n0,PTEN,Deletion
n1,TCF7L2,Deletion
n2,ATM,Deletion
n3,TP53,Deletion
n4,SMAD4,Deletion
n5,BRAF,Amplification
n6,DKK4,Amplification
n7,IGF2,Amplification
n8,ERBB2,Amplification
n9,SOX9,Amplification
n10,SMAD2,Amplification
n11,TP53,Mutation
n12,BRAF,Mutation
n13,FBXW7,Mutation
n14,APC,Mutation
n15,ARID1A,Mutation
n16,DKK2,Mutation
n17,SMAD4,Mutation
n18,CTNNB1,Mutation
n19,NRAS,Mutation
n20,KRAS,Mutation
n21,FAM123B,Mutation
n22,PIK3CA,Mutation
n23,ATM,Mutation
n24,ERBB2,Mutation
n25,SMAD2,Mutation
n26,SOX9,Mutation
n27,TCF7L2,Mutation
n28,PTEN,Mutation
n29,DKK4,Mutation
n30,APC,Deletion
n31,OR,""
n32,UPOR,""
n33,UPOR,""
n34,UPXOR,""
n35,UPXOR,""
n36,UPXOR,""
n37,UPXOR,""
n38,XOR,""
n39,XOR,""
