n0,n28
n1,n31
n2,n1
n4,n24
n5,n15
n5,n27
n6,n2
n7,n18
n8,n2
n8,n14
n8,n17
n8,n23
n8,n25
n8,n29
n8,n30
n9,n11
n9,n20
n9,n22
n10,n3
n14,n13
n15,n31
n16,n12
n16,n21
n16,n23
n17,n20
n17,n26
n17,n28
n19,n0
n20,n13
n20,n21
n20,n28
n23,n14
n28,n7
n29,n0
n29,n17
n29,n20
n30,n2
n30,n13
n31,n18
