"","nsubs","nlost","nrisk","nevent","surv","pdf","hazard","se.surv","se.pdf","se.hazard"
"0-29",34,18,25,0,1,0,0,0,NA,NA
"29-30",16,1,15.5,0,1,0,0,0,NA,NA
"30-31",15,6,12,1,1,0.0833333333333334,0.0869565217391304,0,0.0797855923130282,0.086874293331388
"31-548",8,3,6.5,0,0.916666666666667,0,0,0.0797855923130282,NA,NA
"548-637",5,0,5,1,0.916666666666667,0.00205992509363296,0.00249687890137328,0.0797855923130282,0.00185115619546471,0.00248141820224696
"637-1065",4,1,3.5,0,0.733333333333333,0,0,0.175962959065148,NA,NA
"1065-1215",3,1,2.5,0,0.733333333333333,0,0,0.175962959065148,NA,NA
"1215-1519",2,1,1.5,0,0.733333333333333,0,0,0.175962959065148,NA,NA
"1519-NA",1,1,0.5,0,0.733333333333333,NA,NA,0.175962959065148,NA,NA
