"","nsubs","nlost","nrisk","nevent","surv","pdf","hazard","se.surv","se.pdf","se.hazard"
"0-30",11,7,7.5,0,1,0,0,0,NA,NA
"30-31",4,1,3.5,1,1,0.285714285714286,0.333333333333333,0,0.241472644208148,0.32867109906109
"31-637",2,1,1.5,0,0.714285714285714,0,0,0.241472644208148,NA,NA
"637-NA",1,1,0.5,0,0.714285714285714,NA,NA,0.241472644208148,NA,NA
