"","nsubs","nlost","nrisk","nevent","surv","pdf","hazard","se.surv","se.pdf","se.hazard"
"0-29",64,32,48,0,1,0,0,0,NA,NA
"29-30",32,0,32,1,1,0.03125,0.0317460317460317,0,0.0307578432578586,0.0317420322459534
"30-31",31,3,29.5,0,0.96875,0,0,0.0307578432578586,NA,NA
"31-59",28,6,25,0,0.96875,0,0,0.0307578432578586,NA,NA
"59-61",22,0,22,1,0.96875,0.0220170454545454,0.0232558139534884,0.0307578432578586,0.0215221942654277,0.0232495243485178
"61-153",21,0,21,1,0.924715909090909,0.000478631422924903,0.000530222693531283,0.0520851247676668,0.000467873788378863,0.000530064959571663
"153-183",20,0,20,1,0.880681818181818,0.00146780303030303,0.00170940170940171,0.0656301147786756,0.00143481295102851,0.00170883968350804
"183-332",19,1,18.5,0,0.836647727272727,0,0,0.0756928011984703,NA,NA
"332-387",18,1,17.5,0,0.836647727272727,0,0,0.0756928011984703,NA,NA
"387-396",17,1,16.5,0,0.836647727272727,0,0,0.0756928011984703,NA,NA
"396-412",16,2,15,0,0.836647727272727,0,0,0.0756928011984703,NA,NA
"412-423",14,1,13.5,0,0.836647727272727,0,0,0.0756928011984703,NA,NA
"423-456",13,1,12.5,0,0.836647727272727,0,0,0.0756928011984703,NA,NA
"456-457",12,1,11.5,0,0.836647727272727,0,0,0.0756928011984703,NA,NA
"457-482",11,1,10.5,0,0.836647727272727,0,0,0.0756928011984703,NA,NA
"482-484",10,1,9.5,0,0.836647727272727,0,0,0.0756928011984703,NA,NA
"484-517",9,1,8.5,0,0.836647727272727,0,0,0.0756928011984703,NA,NA
"517-669",8,1,7.5,0,0.836647727272727,0,0,0.0756928011984703,NA,NA
"669-791",7,1,6.5,0,0.836647727272727,0,0,0.0756928011984703,NA,NA
"791-822",6,1,5.5,0,0.836647727272727,0,0,0.0756928011984703,NA,NA
"822-1005",5,1,4.5,0,0.836647727272727,0,0,0.0756928011984703,NA,NA
"1005-1156",4,1,3.5,0,0.836647727272727,0,0,0.0756928011984703,NA,NA
"1156-1946",3,1,2.5,0,0.836647727272727,0,0,0.0756928011984703,NA,NA
"1946-2130",2,1,1.5,0,0.836647727272727,0,0,0.0756928011984703,NA,NA
"2130-NA",1,1,0.5,0,0.836647727272727,NA,NA,0.0756928011984703,NA,NA
