"","nsubs","nlost","nrisk","nevent","surv","pdf","hazard","se.surv","se.pdf","se.hazard"
"0-28",231,93,184.5,2,1,0.000387146728610141,0.000389256520046711,0,0.00027226627220077,0.000275241837782811
"28-29",136,3,134.5,0,0.989159891598916,0,0,0.00762345562162156,NA,NA
"29-30",133,1,132.5,1,0.989159891598916,0.00746535767244461,0.00757575757575758,0.00762345562162156,0.00743735570795618,0.00757570322698039
"30-31",131,19,121.5,1,0.981694533926471,0.00807979040268703,0.00826446280991736,0.0106091515525181,0.00804694529972853,0.00826439225037489
"31-59",111,23,99.5,0,0.973614743523784,0,0,0.0132459308087124,NA,NA
"59-61",88,0,88,1,0.973614743523784,0.00553190195183967,0.00571428571428571,0.0132459308087124,0.00550089575517514,0.00571419241906347
"61-123",87,0,87,3,0.962550939620105,0.000535345350178034,0.000565930956423316,0.0171028211998734,0.000303854961148054,0.000326690102939944
"123-152",84,1,83.5,0,0.929359527909067,0,0,0.025044796633822,NA,NA
"152-153",83,0,83,1,0.929359527909067,0.0111971027458924,0.0121212121212121,0.025044796633822,0.0111335356547388,0.012120989507375
"153-183",82,0,82,1,0.918162425163175,0.000373236758196412,0.000408997955010225,0.0271308531645775,0.000371117855157961,0.000408990258036241
"183-214",81,2,80,0,0.906965322417282,0,0,0.0290187105329091,NA,NA
"214-231",79,2,78,0,0.906965322417282,0,0,0.0290187105329091,NA,NA
"231-246",77,1,76.5,0,0.906965322417282,0,0,0.0290187105329091,NA,NA
"246-313",76,1,75.5,0,0.906965322417282,0,0,0.0290187105329091,NA,NA
"313-316",75,1,74.5,0,0.906965322417282,0,0,0.0290187105329091,NA,NA
"316-323",74,0,74,1,0.906965322417282,0.00175089830582487,0.00194363459669582,0.0290187105329091,0.00173992975722621,0.00194358962337259
"323-332",73,1,72.5,0,0.894709034276508,0,0,0.0311073450204406,NA,NA
"332-334",72,1,71.5,0,0.894709034276508,0,0,0.0311073450204406,NA,NA
"334-365",71,1,70.5,0,0.894709034276508,0,0,0.0311073450204406,NA,NA
"365-387",70,3,68.5,0,0.894709034276508,0,0,0.0311073450204406,NA,NA
"387-396",67,1,66.5,0,0.894709034276508,0,0,0.0311073450204406,NA,NA
"396-412",66,3,64.5,0,0.894709034276508,0,0,0.0311073450204406,NA,NA
"412-423",63,1,62.5,0,0.894709034276508,0,0,0.0311073450204406,NA,NA
"423-424",62,2,61,0,0.894709034276508,0,0,0.0311073450204406,NA,NA
"424-425",60,0,60,1,0.894709034276508,0.0149118172379419,0.0168067226890756,0.0311073450204406,0.0147961160944534,0.0168061292627848
"425-437",59,0,59,1,0.879797217038566,0.00124265143649515,0.00142450142450142,0.0339755265138587,0.00123300967453778,0.00142444939267146
"437-447",58,1,57.5,0,0.864885399800625,0,0,0.0365257635902746,NA,NA
"447-456",57,1,56.5,0,0.864885399800625,0,0,0.0365257635902746,NA,NA
"456-457",56,1,55.5,0,0.864885399800625,0,0,0.0365257635902746,NA,NA
"457-464",55,2,54,0,0.864885399800625,0,0,0.0365257635902746,NA,NA
"464-482",53,1,52.5,0,0.864885399800625,0,0,0.0365257635902746,NA,NA
"482-484",52,1,51.5,0,0.864885399800625,0,0,0.0365257635902746,NA,NA
"484-488",51,1,50.5,0,0.864885399800625,0,0,0.0365257635902746,NA,NA
"488-496",50,1,49.5,0,0.864885399800625,0,0,0.0365257635902746,NA,NA
"496-503",49,0,49,1,0.864885399800625,0.00252153177784439,0.00294550810014728,0.0365257635902746,0.002497940118246,0.00294535156989075
"503-505",48,1,47.5,0,0.847234677355714,0,0,0.0398173655537305,NA,NA
