"","nsubs","nlost","nrisk","nevent","surv","pdf","hazard","se.surv","se.pdf","se.hazard"
"505-517",47,1,46.5,0,0.847234677355714,0,0,0.0398173655537305,NA,NA
"517-518",46,2,45,0,0.847234677355714,0,0,0.0398173655537305,NA,NA
"518-522",44,1,43.5,0,0.847234677355714,0,0,0.0398173655537305,NA,NA
"522-523",43,1,42.5,0,0.847234677355714,0,0,0.0398173655537305,NA,NA
"523-541",42,1,41.5,0,0.847234677355714,0,0,0.0398173655537305,NA,NA
"541-548",41,1,40.5,0,0.847234677355714,0,0,0.0398173655537305,NA,NA
"548-552",40,2,39,1,0.847234677355714,0.00543099152151097,0.00649350649350649,0.0398173655537305,0.00536698396848517,0.0064929588648744
"552-578",37,1,36.5,0,0.82551071126967,0,0,0.0443282206643646,NA,NA
"578-595",36,1,35.5,0,0.82551071126967,0,0,0.0443282206643646,NA,NA
"595-637",35,1,34.5,0,0.82551071126967,0,0,0.0443282206643646,NA,NA
"637-638",34,1,33.5,0,0.82551071126967,0,0,0.0443282206643646,NA,NA
"638-648",33,1,32.5,0,0.82551071126967,0,0,0.0443282206643646,NA,NA
"648-669",32,1,31.5,0,0.82551071126967,0,0,0.0443282206643646,NA,NA
"669-670",31,1,30.5,0,0.82551071126967,0,0,0.0443282206643646,NA,NA
"670-699",30,0,30,2,0.82551071126967,0.00189772577303372,0.00237812128418549,0.0443282206643646,0.00130039245383351,0.00168058563548478
"699-700",28,1,27.5,0,0.770476663851692,0,0,0.0559029569586079,NA,NA
"700-789",27,1,26.5,0,0.770476663851692,0,0,0.0559029569586079,NA,NA
"789-791",26,1,25.5,0,0.770476663851692,0,0,0.0559029569586079,NA,NA
"791-822",25,1,24.5,0,0.770476663851692,0,0,0.0559029569586079,NA,NA
"822-913",24,1,23.5,0,0.770476663851692,0,0,0.0559029569586079,NA,NA
"913-957",23,1,22.5,0,0.770476663851692,0,0,0.0559029569586079,NA,NA
"957-1005",22,1,21.5,0,0.770476663851692,0,0,0.0559029569586079,NA,NA
"1005-1035",21,1,20.5,0,0.770476663851692,0,0,0.0559029569586079,NA,NA
"1035-1065",20,1,19.5,0,0.770476663851692,0,0,0.0559029569586079,NA,NA
"1065-1156",19,2,18,0,0.770476663851692,0,0,0.0559029569586079,NA,NA
"1156-1158",17,1,16.5,0,0.770476663851692,0,0,0.0559029569586079,NA,NA
"1158-1184",16,0,16,1,0.770476663851692,0.00185210736502811,0.00248138957816377,0.0559029569586079,0.00179832321534178,0.00248009819656282
"1184-1215",15,0,15,1,0.722321872360961,0.00155338037066873,0.00222469410456062,0.070147411211166,0.00150827108383504,0.00222337106304928
"1215-1245",14,2,13,0,0.67416708087023,0,0,0.0803164532988928,NA,NA
"1245-1246",12,1,11.5,0,0.67416708087023,0,0,0.0803164532988928,NA,NA
"1246-1334",11,1,10.5,0,0.67416708087023,0,0,0.0803164532988928,NA,NA
"1334-1491",10,1,9.5,0,0.67416708087023,0,0,0.0803164532988928,NA,NA
"1491-1519",9,1,8.5,0,0.67416708087023,0,0,0.0803164532988928,NA,NA
"1519-1581",8,1,7.5,0,0.67416708087023,0,0,0.0803164532988928,NA,NA
"1581-1714",7,0,7,1,0.67416708087023,0.000724132202868131,0.00115673799884326,0.0803164532988928,0.000675943899242339,0.00115331061946129
"1714-1884",6,1,5.5,0,0.577857497888769,0,0,0.1126488927316,NA,NA
"1884-1946",5,1,4.5,0,0.577857497888769,0,0,0.1126488927316,NA,NA
"1946-2130",4,1,3.5,0,0.577857497888769,0,0,0.1126488927316,NA,NA
"2130-2180",3,1,2.5,0,0.577857497888769,0,0,0.1126488927316,NA,NA
"2180-2192",2,1,1.5,0,0.577857497888769,0,0,0.1126488927316,NA,NA
"2192-NA",1,1,0.5,0,0.577857497888769,NA,NA,0.1126488927316,NA,NA
